CLIENTE;CHURN
2065873;0
9159337;0
46983672;0
47106764;0
48077440;0
49137288;0
50021595;0
50029370;0
50034274;0
50042034;0
50054746;0
50095559;0
50095925;0
50097127;0
50129764;0
50133461;0
50134135;0
50134598;0
50193000;0
50195189;1
50228284;0
50250221;0
50282366;0
50299108;0
50306077;0
50331564;0
50332105;0
50334441;0
50337681;1
50337766;0
50342420;0
50347533;0
50347789;0
50354318;0
50355629;1
50356142;0
50359913;0
50361884;1
50364880;0
50365018;1
50365449;0
50366118;0
50366188;0
50366840;0
50368238;0
50369062;0
50369478;0
50370109;0
50370574;0
50372087;0
50372424;0
50373343;0
50373425;0
50374467;1
50374550;0
50374928;0
50374940;0
50375148;0
50375217;0
50376043;0
50376673;1
50377146;0
50377311;0
50378337;0
50378474;0
50379017;0
50379601;0
50379956;1
50381055;0
50381228;0
50381619;1
50381649;0
50382440;0
50383571;0
50384109;0
50385365;0
50385504;0
50386008;0
50386117;0
50386419;0
50386950;0
50387234;0
50387834;0
50388178;0
50389080;0
50389319;0
50389500;0
50389573;0
50390544;0
50390664;0
50392770;0
50393667;1
50393741;1
50396199;0
50396329;1
50396352;1
50396621;0
50396814;0
50397299;0
50397584;0
50397668;1
50399545;0
50399748;0
50400177;0
50400211;1
50401077;0
50401427;0
50401807;0
50402612;0
50402808;0
50403356;1
50404717;0
50405111;0
50405397;0
50405893;0
50407721;0
50408104;0
50408554;0
50408757;0
50409429;0
50409920;0
50410199;0
50410257;1
50410344;1
50410708;0
50411117;0
50411198;0
50412221;1
50412466;0
50413174;0
50413827;0
50414471;0
50414888;0
50415408;0
50415688;0
50415791;0
50415898;0
50417858;0
50417892;0
50417922;1
50418605;0
50418893;0
50419680;0
50420617;0
50420665;0
50421091;0
50421212;0
50421987;0
50422525;0
50422545;0
50422571;1
50423192;1
50423254;0
50423605;0
50424053;0
50425441;0
50425749;0
50425786;0
50426091;0
50426129;1
50426359;0
50427808;0
50428107;0
50428421;0
50428624;1
50428687;0
50428947;0
50429101;0
50429163;0
50429286;0
50429535;1
50430399;0
50430499;0
50431118;0
50432947;0
50433268;0
50433667;0
50433744;0
50434124;1
50435386;0
50435733;1
50436296;0
50436772;0
50436848;0
50436888;0
50436928;0
50437029;0
50437091;0
50438888;0
50439057;0
50439183;0
50439300;0
50439455;0
50439677;0
50439734;0
50440661;0
50441007;0
50441420;0
50441437;0
50443419;0
50443421;0
50443639;0
50443908;0
50444061;0
50444099;0
50444782;0
50445062;0
50445163;0
50445215;0
50445394;0
50445770;0
50446176;0
50446795;0
50447934;0
50448173;0
50448424;1
50450389;1
50451046;0
50451242;0
50451448;0
50451654;0
50451815;0
50451965;0
50452150;0
50452755;0
50453509;1
50453885;0
50453950;0
50454044;0
50454306;0
50454774;1
50455309;0
50455962;0
50456642;0
50456877;1
50457100;0
50457154;1
50457881;0
50458058;0
50458692;1
50459075;0
50459105;1
50459173;0
50459407;0
50459729;1
50460003;0
50460015;0
50460427;0
50460877;0
50460940;1
50461515;0
50461672;0
50461677;0
50461705;1
50462180;0
50462357;0
50462427;0
50462593;0
50463011;0
50463042;0
50463153;0
50463299;0
50463419;0
50463618;1
50463753;1
50464330;1
50464555;0
50465038;0
50465157;0
50465720;0
50465774;0
50465799;1
50465978;1
50466226;0
50466644;0
50466692;0
50466815;0
50466829;0
50466957;0
50467430;0
50467823;0
50467830;0
50467882;0
50468089;0
50468159;0
50468282;0
50468316;0
50468366;1
50468613;0
50468679;0
50468886;0
50468925;0
50468938;0
50469430;0
50469704;0
50469783;0
50469794;0
50469829;0
50470177;0
50470375;0
50470441;0
50471624;0
50471761;0
50472133;0
50473046;0
50473678;0
50474047;0
50474229;0
50474425;1
50474595;0
50474917;1
50475011;0
50475656;0
50475735;0
50476133;0
50476703;0
50477296;0
50477641;1
50478141;0
50478301;0
50478492;1
50479125;0
50479158;0
50479501;0
50479706;0
50479772;1
50479893;0
50480063;1
50480107;0
50480567;1
50480696;0
50480857;0
50481127;0
50481380;0
50481436;1
50481580;0
50482043;1
50482647;0
50482973;0
50482976;0
50483443;1
50483621;0
50483735;0
50483797;0
50484107;1
50484130;1
50485069;0
50485324;0
50485549;0
50485795;0
50486188;0
50486736;1
50487174;0
50487193;0
50487448;0
50487508;0
50487600;0
50487991;1
